Region	RCP	Timestep	RCM	Ensemble	Variable	Period
AFR-44i	rcp45	mon	SMHI-RCA4	r1i1p1	tasmin	2006-2100
AFR-44i	rcp85	mon	SMHI-RCA4	r1i1p1	tasmin	2006-2100
AFR-44	evaluation	day	SMHI-RCA4	r1i1p1	pr	1980-2010
AFR-44	historical	day	CCCma-CanRCM4	r1i1p1	clivi	1950-2005
AFR-44	historical	day	CCCma-CanRCM4	r1i1p1	clt	1950-2005
AFR-44	historical	day	CCCma-CanRCM4	r1i1p1	clwvi	1950-2005
AFR-44	historical	day	CCCma-CanRCM4	r1i1p1	evspsbl	1950-2005
AFR-44	historical	day	CCCma-CanRCM4	r1i1p1	hfls	1950-2005
AFR-44	historical	day	CCCma-CanRCM4	r1i1p1	hfss	1950-2005
AFR-44	historical	day	CCCma-CanRCM4	r1i1p1	hus850	1950-2005
AFR-44	historical	day	CCCma-CanRCM4	r1i1p1	huss	1950-2005
AFR-44	historical	day	CCCma-CanRCM4	r1i1p1	mrfso	1950-2005
AFR-44	historical	day	CCCma-CanRCM4	r1i1p1	mrros	1950-2005
AFR-44	historical	day	CCCma-CanRCM4	r1i1p1	mrro	1950-2005
AFR-44	historical	day	CCCma-CanRCM4	r1i1p1	mrso	1950-2005
AFR-44	historical	day	CCCma-CanRCM4	r1i1p1	prc	1950-2005
AFR-44	historical	day	CCCma-CanRCM4	r1i1p1	prsn	1950-2005
AFR-44	historical	day	CCCma-CanRCM4	r1i1p1	prw	1950-2005
AFR-44	historical	day	CCCma-CanRCM4	r1i1p1	pr	1950-2005
AFR-44	historical	day	CCCma-CanRCM4	r1i1p1	psl	1950-2005
AFR-44	historical	day	CCCma-CanRCM4	r1i1p1	ps	1950-2005
AFR-44	historical	day	CCCma-CanRCM4	r1i1p1	rlds	1950-2005
AFR-44	historical	day	CCCma-CanRCM4	r1i1p1	rlus	1950-2005
AFR-44	historical	day	CCCma-CanRCM4	r1i1p1	rlut	1950-2005
AFR-44	historical	day	CCCma-CanRCM4	r1i1p1	rsds	1950-2005
AFR-44	historical	day	CCCma-CanRCM4	r1i1p1	rsdt	1950-2005
AFR-44	historical	day	CCCma-CanRCM4	r1i1p1	rsus	1950-2005
AFR-44	historical	day	CCCma-CanRCM4	r1i1p1	rsut	1950-2005
AFR-44	historical	day	CCCma-CanRCM4	r1i1p1	sfcWindmax	1950-2005
AFR-44	historical	day	CCCma-CanRCM4	r1i1p1	sfcWind	1950-2005
AFR-44	historical	day	CCCma-CanRCM4	r1i1p1	sic	1950-2005
AFR-44	historical	day	CCCma-CanRCM4	r1i1p1	snc	1950-2005
AFR-44	historical	day	CCCma-CanRCM4	r1i1p1	snd	1950-2005
AFR-44	historical	day	CCCma-CanRCM4	r1i1p1	snm	1950-2005
AFR-44	historical	day	CCCma-CanRCM4	r1i1p1	snw	1950-2005
AFR-44	historical	day	CCCma-CanRCM4	r1i1p1	ta200	1950-2005
AFR-44	historical	day	CCCma-CanRCM4	r1i1p1	ta500	1950-2005
AFR-44	historical	day	CCCma-CanRCM4	r1i1p1	ta850	1950-2005
AFR-44	historical	day	CCCma-CanRCM4	r1i1p1	tasmax	1950-2005
AFR-44	historical	day	CCCma-CanRCM4	r1i1p1	tasmin	1950-2005
AFR-44	historical	day	CCCma-CanRCM4	r1i1p1	tas	1950-2005
AFR-44	historical	day	CCCma-CanRCM4	r1i1p1	tauu	1950-2005
AFR-44	historical	day	CCCma-CanRCM4	r1i1p1	tauv	1950-2005
AFR-44	historical	day	CCCma-CanRCM4	r1i1p1	ts	1950-2005
AFR-44	historical	day	CCCma-CanRCM4	r1i1p1	ua200	1950-2005
AFR-44	historical	day	CCCma-CanRCM4	r1i1p1	ua500	1950-2005
AFR-44	historical	day	CCCma-CanRCM4	r1i1p1	ua850	1950-2005
AFR-44	historical	day	CCCma-CanRCM4	r1i1p1	uas	1950-2005
AFR-44	historical	day	CCCma-CanRCM4	r1i1p1	va200	1950-2005
AFR-44	historical	day	CCCma-CanRCM4	r1i1p1	va500	1950-2005
