rcp	gcm	ensemble	pr	tasmin	tas	tasmin	hur	rsds	sfcWind
historical	bcc_csm1_1	r1i1p1	18500101-20121230.nc	18500101-20121230.nc	N/A	18500101-20121230.nc	18500101-20121230.nc	19500101-20121230.nc	19500101-20121230.nc	N/A
historical	bnu_esm	r1i1p1	19500101-20051231.nc	19500101-20051231.nc	19500101-20051231.nc	19500101-20051231.nc	19500101-20051231.nc	19500101-20051231.nc	19500101-20051231.nc	19500101-20051231.nc
historical	cccma_cancm4	r10i1p1	19610101-20051231.nc	19610101-20051231.nc	N/A	19610101-20051231.nc	19610101-20051231.nc	N/A	N/A	N/A
historical	cccma_cancm4	r1i1p1	19610101-20051231.nc	19610101-20051231.nc	N/A	19610101-20051231.nc	19610101-20051231.nc	N/A	N/A	N/A
historical	cccma_cancm4	r2i1p1	19610101-20051231.nc	19610101-20051231.nc	N/A	19610101-20051231.nc	19610101-20051231.nc	N/A	N/A	N/A
historical	cccma_cancm4	r3i1p1	19610101-20051231.nc	19610101-20051231.nc	N/A	19610101-20051231.nc	19610101-20051231.nc	N/A	N/A	N/A
historical	cccma_cancm4	r4i1p1	19610101-20051231.nc	19610101-20051231.nc	N/A	19610101-20051231.nc	19610101-20051231.nc	N/A	N/A	N/A
historical	cccma_cancm4	r5i1p1	19610101-20051231.nc	19610101-20051231.nc	N/A	19610101-20051231.nc	19610101-20051231.nc	N/A	N/A	N/A
historical	cccma_cancm4	r6i1p1	19610101-20051231.nc	19610101-20051231.nc	N/A	19610101-20051231.nc	19610101-20051231.nc	N/A	N/A	N/A
historical	cccma_cancm4	r7i1p1	19610101-20051231.nc	19610101-20051231.nc	N/A	19610101-20051231.nc	19610101-20051231.nc	N/A	N/A	N/A
historical	cccma_cancm4	r8i1p1	19610101-20051231.nc	19610101-20051231.nc	N/A	19610101-20051231.nc	19610101-20051231.nc	N/A	N/A	N/A
historical	cccma_cancm4	r9i1p1	19610101-20051231.nc	19610101-20051231.nc	N/A	19610101-20051231.nc	19610101-20051231.nc	N/A	N/A	N/A
historical	cccma_canesm2	r1i1p1	18500101-20051231.nc	18500101-20051231.nc	18500101-20051231.nc	18500101-20051231.nc	18500101-20051231.nc	19610101-20051231.nc	18500101-20051231.nc	18500101-20051231.nc
historical	cccma_canesm2	r2i1p1	18500101-20051231.nc	18500101-20051231.nc	18500101-20051231.nc	18500101-20051231.nc	18500101-20051231.nc	19610101-20051231.nc	18500101-20051231.nc	18500101-20051231.nc
historical	cccma_canesm2	r3i1p1	18500101-20051231.nc	18500101-20051231.nc	18500101-20051231.nc	18500101-20051231.nc	18500101-20051231.nc	19610101-20051231.nc	18500101-20051231.nc	18500101-20051231.nc
historical	cccma_canesm2	r4i1p1	18500101-20051231.nc	18500101-20051231.nc	18500101-20051231.nc	18500101-20051231.nc	18500101-20051231.nc	19610101-20051231.nc	18500101-20051231.nc	18500101-20051231.nc
historical	cccma_canesm2	r5i1p1	18500101-20051231.nc	18500101-20051231.nc	18500101-20051231.nc	18500101-20051231.nc	18500101-20051231.nc	19610101-20051231.nc	18500101-20051231.nc	18500101-20051231.nc
historical	cnrm_cm5	r1i1p1	19600101-20051231.nc	19600101-20051231.nc	N/A	19600101-20051231.nc	19600101-20051231.nc	19600101-20051231.nc	19600101-20051231.nc	19600101-20051231.nc
historical	csiro_access1_0	r1i1p1	19500101-20051231.nc	19500101-20051231.nc	19500101-20051231.nc	19500101-20051231.nc	19500101-20051231.nc	N/A	N/A	19500101-20051231.nc
historical	csiro_mk3_6_0	r10i1p1	19500101-20051231.nc	19500101-20051231.nc	19500101-20051231.nc	19500101-20051231.nc	19500101-20051231.nc	N/A	19500101-20051231.nc	19500101-20051231.nc
historical	csiro_mk3_6_0	r1i1p1	19500101-20051231.nc	19500101-20051231.nc	19500101-20051231.nc	19500101-20051231.nc	19500101-20051231.nc	19650101-20051231.nc	19500101-20051231.nc	19500101-20051231.nc
historical	csiro_mk3_6_0	r2i1p1	19500101-20051231.nc	19500101-20051231.nc	19500101-20051231.nc	19500101-20051231.nc	19500101-20051231.nc	N/A	N/A	19500101-20051231.nc
historical	csiro_mk3_6_0	r3i1p1	19500101-20051231.nc	19500101-20051231.nc	19500101-20051231.nc	19500101-20051231.nc	19500101-20051231.nc	N/A	N/A	19500101-20051231.nc
historical	csiro_mk3_6_0	r4i1p1	19500101-20051231.nc	19500101-20051231.nc	19500101-20051231.nc	19500101-20051231.nc	19500101-20051231.nc	N/A	N/A	19500101-20051231.nc
historical	csiro_mk3_6_0	r5i1p1	19500101-20051231.nc	19500101-20051231.nc	19500101-20051231.nc	19500101-20051231.nc	19500101-20051231.nc	N/A	N/A	19500101-20051231.nc
historical	csiro_mk3_6_0	r6i1p1	19500101-20051231.nc	19500101-20051231.nc	19500101-20051231.nc	19500101-20051231.nc	19500101-20051231.nc	N/A	N/A	19500101-20051231.nc
historical	csiro_mk3_6_0	r7i1p1	19500101-20051231.nc	19500101-20051231.nc	19500101-20051231.nc	19500101-20051231.nc	19500101-20051231.nc	N/A	19500101-20051231.nc	19500101-20051231.nc
historical	csiro_mk3_6_0	r8i1p1	19500101-20051231.nc	19500101-20051231.nc	19500101-20051231.nc	19500101-20051231.nc	19500101-20051231.nc	N/A	19700101-20051231.nc	19500101-20051231.nc
historical	csiro_mk3_6_0	r9i1p1	19500101-20051231.nc	19500101-20051231.nc	19500101-20051231.nc	19500101-20051231.nc	19500101-20051231.nc	N/A	19500101-20051231.nc	19500101-20051231.nc
historical	ec_earth	r6i1p1	19500101-20051231.nc	19500101-20051231.nc	19500101-20051231.nc	19500101-20051231.nc	19500101-20051231.nc	N/A	N/A	N/A
historical	ec_earth	r8i1p1	19500101-20121231.nc	19500101-20121231.nc	19500101-20121231.nc	19500101-20121231.nc	19500101-20121231.nc	N/A	19500101-20121231.nc	N/A
historical	gfld_esm2g	r1i1p1	19560101-20001231.nc	19560101-20001231.nc	19560101-20001231.nc	19560101-20001231.nc	19560101-20001231.nc	19560101-20001231.nc	19560101-20051231.nc	19560101-20001231.nc
historical	gfld_esm2m	r1i1p1	19560101-20001231.nc	19560101-20001231.nc	19560101-20001231.nc	19560101-20001231.nc	19560101-20001231.nc	19560101-20001231.nc	19560101-20051231.nc	19560101-20001231.nc
historical	inm_cm4	r1i1p1	19600101-20051231.nc	19600101-20051231.nc	19600101-20051231.nc	19600101-20051231.nc	19600101-20051231.nc	19600101-20051231.nc	19600101-20051231.nc	19600101-20051231.nc
historical	ipsl_cm5a_lr	r1i1p1	19500101-20051231.nc	19500101-20051231.nc	19500101-20051231.nc	19500101-20051231.nc	19500101-20051231.nc	19600101-20051231.nc	N/A	19500101-20051231.nc
historical	ipsl_cm5a_lr	r2i1p1	19500101-20051231.nc	19500101-20051231.nc	19500101-20051231.nc	19500101-20051231.nc	19500101-20051231.nc	19600101-20051231.nc	N/A	19500101-20051231.nc
historical	ipsl_cm5a_lr	r3i1p1	19500101-20051231.nc	19500101-20051231.nc	19500101-20051231.nc	19500101-20051231.nc	19500101-20051231.nc	19600101-20051231.nc	N/A	19500101-20051231.nc
historical	ipsl_cm5a_lr	r4i1p1	19500101-20051231.nc	19500101-20051231.nc	19500101-20051231.nc	19500101-20051231.nc	19500101-20051231.nc	19600101-20051231.nc	N/A	19500101-20051231.nc
historical	ipsl_cm5a_mr	r1i1p1	19500101-20051231.nc	19500101-20051231.nc	19500101-20051231.nc	19500101-20051231.nc	19500101-20051231.nc	19600101-20051231.nc	19500101-20051231.nc	19500101-19991231.nc
historical	ipsl_cm5b_lr	r1i1p1	18500101-20051231.nc	18500101-20051231.nc	18500101-20051231.nc	18500101-20051231.nc	18500101-20051231.nc	N/A	N/A	18500101-20051231.nc
historical	miroc_esm	r1i1p1	18500101-20051231.nc	18500101-20051231.nc	18500101-20051231.nc	18500101-20051231.nc	18500101-20051231.nc	19500101-20051231.nc	19500101-20051231.nc	18500101-20051231.nc
historical	miroc_esm_chem	r1i1p1	18500101-20051231.nc	18500101-20051231.nc	18500101-20051231.nc	18500101-20051231.nc	18500101-20051231.nc	19500101-20051231.nc	19500101-20051231.nc	18500101-20051231.nc
historical	miroc_miroc4h	r1i1p1	19600101-20051231.nc	19600101-20051231.nc	19600101-20051231.nc	19600101-20051231.nc	19600101-20051231.nc	N/A	19600101-20051231.nc	19600101-20051231.nc
historical	miroc_miroc4h	r2i1p1	19600101-20051231.nc	19600101-20051231.nc	19600101-20051231.nc	N/A	19600101-20051231.nc	N/A	N/A	19600101-20051231.nc
historical	miroc_miroc4h	r3i1p1	19600101-20051231.nc	19600101-20051231.nc	19600101-20051231.nc	19600101-20051231.nc	19600101-20051231.nc	N/A	N/A	19600101-20051231.nc
historical	miroc_miroc5	r1i1p1	19600101-20091231.nc	19600101-20091231.nc	19600101-20091231.nc	19600101-20091231.nc	19600101-20091231.nc	19600101-20091231.nc	19600101-20091231.nc	19600101-20091231.nc
historical	miroc_miroc5	r2i1p1	19600101-20121231.nc	19600101-20121231.nc	19600101-20121231.nc	19600101-20121231.nc	19600101-20121231.nc	19600101-20091231.nc	19600101-20091231.nc	19600101-20121231.nc
historical	miroc_miroc5	r3i1p1	19600101-20121231.nc	19600101-20121231.nc	19600101-20121231.nc	19600101-20121231.nc	19600101-20121231.nc	19600101-20091231.nc	19600101-20091231.nc	19600101-20121231.nc
historical	mohc_hadcm3	r10i1p1	19591201-20051230.nc	19591201-20051230.nc	19591201-20051230.nc	19591201-20051230.nc	19591201-20051230.nc	N/A	N/A	N/A
historical	mohc_hadcm3	r1i1p1	19591201-20051230.nc	19591201-20051230.nc	19591201-20051230.nc	19591201-20051230.nc	19591201-20051230.nc	N/A	N/A	N/A
historical	mohc_hadcm3	r2i1p1	19591201-20051230.nc	19591201-20051230.nc	19591201-20051230.nc	19591201-20051230.nc	19591201-20051230.nc	N/A	N/A	N/A
