rcp	gcm	ensemble	pr	tasmin	tas	tasmin	hur	rsds	sfcWind
rcp_85	bcc_csm1_1	r1i1p1	20060101-20991230.nc	20060101-20991230.nc	20060101-20991230.nc	20060101-20991230.nc	20060101-20991230.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-20991230.nc
rcp_85	bcc_csm1_1_m	r1i1p1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
rcp_85	bnu_esm	r1i1p1	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc
rcp_85	cmcc_cms	r1i1p1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
rcp_85	cnrm_cm5	original-data	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
rcp_85	csiro_acess1_0	r1i1p1	20060101-21001231.nc	20310101-21001231.nc	20060101-21001231.nc	20060101-20801231.nc	20310101-21001231.nc	N/A	N/A	20060101-21001231.nc
rcp_85	csiro_mk3_6_0	r10ip1	N/A	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	N/A	N/A	20060101-21001231.nc
rcp_85	csiro_mk3_6_0	r1i1p1	20060101-23001231.nc	20060101-23001231.nc	20060101-23001231.nc	20060101-23001231.nc	20060101-23001231.nc	20060101-23001231.nc	20060101-23001231.nc	20060101-23001231.nc
rcp_85	csiro_mk3_6_0	r2i1p1	20060101-23001231.nc	20060101-23001231.nc	20060101-23001231.nc	20060101-23001231.nc	20060101-23001231.nc	N/A	N/A	20060101-23001231.nc
rcp_85	csiro_mk3_6_0	r3i1p1	20060101-23001231.nc	20060101-23001231.nc	20060101-23001231.nc	20060101-23001231.nc	20060101-23001231.nc	N/A	N/A	20060101-23001231.nc
rcp_85	csiro_mk3_6_0	r4i1p1	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	N/A	N/A	20060101-21001231.nc
rcp_85	csiro_mk3_6_0	r5i1p1	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	N/A	N/A	20060101-21001231.nc
rcp_85	csiro_mk3_6_0	r6i1p1	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	N/A	N/A	20060101-21001231.nc
rcp_85	csiro_mk3_6_0	r7i1p1	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	N/A	N/A	20060101-21001231.nc
rcp_85	csiro_mk3_6_0	r8i1p1	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	N/A	N/A	20060101-21001231.nc
rcp_85	csiro_mk3_6_0	r9i1p1	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	N/A	N/A	20060101-21001231.nc
rcp_85	ec_earth	r12i1p1	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	N/A	20060101-21001231.nc	N/A
rcp_85	ec_earth	r13i1p1	20060101-21001231.nc	20060101-21001231.nc	N/A	N/A	20060101-21001231.nc	N/A	N/A	N/A
rcp_85	ec_earth	r14i1p1	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20100101-21001231.nc	20060101-21001231.nc	N/A	N/A	N/A
rcp_85	ec_earth	r1i1p1	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	N/A	N/A	N/A
rcp_85	ec_earth	r2i1p1	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	N/A	20060101-21001231.nc	N/A
rcp_85	ec_earth	r6i1p1	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	N/A	N/A	N/A
rcp_85	ec_earth	r8i1p1	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	N/A	20060101-21001231.nc	20060101-21001231.nc
rcp_85	ec_earth	r9i1p1	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	N/A	20060101-21001231.nc	N/A
rcp_85	gfld_esm2g	r1i1p1	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	N/A
rcp_85	gfld_esm2m	r1i1p1	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc
rcp_85	inm_cm4	r1i1p1	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc
rcp_85	ipsl_cm5a_lr	r1i1p1	20060101-23001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-23001231.nc	N/A	20060101-23001231.nc
rcp_85	ipsl_cm5a_lr	r2i1p1	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc
rcp_85	ipsl_cm5a_lr	r3i1p1	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc
rcp_85	ipsl_cm5a_lr	r4i1p1	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc
rcp_85	ipsl_cm5a_mr	r1i1p1	20060101-21001231.nc	N/A	N/A	N/A	N/A	20060101-21001231.nc	N/A	N/A
rcp_85	ipsl_cm5b_lr	r1i1p1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
rcp_85	miroc_esm	r1i1p1	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc
rcp_85	miroc_esm_chem	r1i1p1	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc
