TYPE,VAR,SCALE,P,SEED
s,prec,all,NA,998
s,prec,all,NA,9979
s,prec,all,NA,9966
s,prec,all,NA,9952
s,prec,all,NA,9946
s,prec,all,NA,9935
s,prec,all,NA,9924
s,prec,all,NA,9917
s,prec,all,NA,9914
s,prec,all,NA,9909
s,prec,all,NA,9874
s,prec,all,NA,9862
s,prec,all,NA,9860
s,prec,all,NA,9846
s,prec,all,NA,9826
s,prec,all,NA,9818
s,prec,all,NA,9794
s,prec,all,NA,9787
s,prec,all,NA,9784
s,prec,all,NA,9782
s,prec,all,NA,9756
s,prec,all,NA,9735
s,prec,all,NA,9730
s,prec,all,NA,9724
s,prec,all,NA,9696
s,prec,all,NA,9689
s,prec,all,NA,9688
s,prec,all,NA,9678
s,prec,all,NA,9676
s,prec,all,NA,9661
s,prec,all,NA,9650
s,prec,all,NA,9640
s,prec,all,NA,9639
s,prec,all,NA,9634
s,prec,all,NA,9633
s,prec,all,NA,9618
s,prec,all,NA,9616
s,prec,all,NA,9613
s,prec,all,NA,9603
s,prec,all,NA,9589
s,prec,all,NA,9560
s,prec,all,NA,956
s,prec,all,NA,9554
s,prec,all,NA,9548
s,prec,all,NA,9544
s,prec,all,NA,954
s,prec,all,NA,9525
s,prec,all,NA,9523
s,prec,all,NA,9511
s,prec,all,NA,9499
s,prec,all,NA,9495
s,prec,all,NA,949
s,prec,all,NA,9465
s,prec,all,NA,9441
s,prec,all,NA,9433
s,prec,all,NA,9431
s,prec,all,NA,943
s,prec,all,NA,9424
s,prec,all,NA,9415
s,prec,all,NA,9414
s,prec,all,NA,9410
s,prec,all,NA,940
s,prec,all,NA,9399
s,prec,all,NA,9395
s,prec,all,NA,9393
s,prec,all,NA,9381
s,prec,all,NA,9378
s,prec,all,NA,9369
s,prec,all,NA,9367
s,prec,all,NA,9365
s,prec,all,NA,9364
s,prec,all,NA,9363
s,prec,all,NA,9361
s,prec,all,NA,9354
s,prec,all,NA,9348
s,prec,all,NA,9346
s,prec,all,NA,9337
s,prec,all,NA,9335
s,prec,all,NA,9329
s,prec,all,NA,9325
s,prec,all,NA,9317
s,prec,all,NA,9304
s,prec,all,NA,9302
s,prec,all,NA,9296
s,prec,all,NA,9289
s,prec,all,NA,9284
s,prec,all,NA,9273
s,prec,all,NA,9252
s,prec,all,NA,9250
s,prec,all,NA,9241
s,prec,all,NA,9208
s,prec,all,NA,9205
s,prec,all,NA,9201
s,prec,all,NA,920
s,prec,all,NA,9199
s,prec,all,NA,9196
s,prec,all,NA,9189
s,prec,all,NA,9185
s,prec,all,NA,9178
s,prec,all,NA,9174
s,prec,all,NA,9167
s,prec,all,NA,9155
s,prec,all,NA,9154
s,prec,all,NA,9137
s,prec,all,NA,9130
s,prec,all,NA,9122
s,prec,all,NA,9110
s,prec,all,NA,9076
s,prec,all,NA,9075
s,prec,all,NA,907
s,prec,all,NA,9068
s,prec,all,NA,9064
s,prec,all,NA,9063
s,prec,all,NA,905
s,prec,all,NA,9048
s,prec,all,NA,9041
s,prec,all,NA,9035
s,prec,all,NA,9023
s,prec,all,NA,902
s,prec,all,NA,9019
s,prec,all,NA,9012
s,prec,all,NA,901
s,prec,all,NA,9007
s,prec,all,NA,9000
s,prec,all,NA,899
s,prec,all,NA,8989
s,prec,all,NA,8977
s,prec,all,NA,8963
s,prec,all,NA,8952
s,prec,all,NA,893
s,prec,all,NA,8927
s,prec,all,NA,8921
s,prec,all,NA,8916
s,prec,all,NA,8911
s,prec,all,NA,8901
s,prec,all,NA,8899
s,prec,all,NA,8868
s,prec,all,NA,8865
s,prec,all,NA,8863
s,prec,all,NA,8861
s,prec,all,NA,8860
s,prec,all,NA,8854
s,prec,all,NA,885
s,prec,all,NA,8848
s,prec,all,NA,8847
s,prec,all,NA,8837
s,prec,all,NA,8829
s,prec,all,NA,8825
s,prec,all,NA,8820
s,prec,all,NA,8810
s,prec,all,NA,8807
s,prec,all,NA,8804
s,prec,all,NA,8792
s,prec,all,NA,8791
s,prec,all,NA,8781
s,prec,all,NA,8779
s,prec,all,NA,8766
s,prec,all,NA,8745
s,prec,all,NA,8736
s,prec,all,NA,8734
s,prec,all,NA,8727
s,prec,all,NA,8721
s,prec,all,NA,8706
s,prec,all,NA,8700
s,prec,all,NA,8691
s,prec,all,NA,8688
s,prec,all,NA,8678
s,prec,all,NA,8675
s,prec,all,NA,8667
s,prec,all,NA,8664
s,prec,all,NA,8661
s,prec,all,NA,8643
s,prec,all,NA,8633
s,prec,all,NA,8632
s,prec,all,NA,8592
s,prec,all,NA,8586
s,prec,all,NA,857
s,prec,all,NA,8569
s,prec,all,NA,8566
s,prec,all,NA,8560
s,prec,all,NA,8543
s,prec,all,NA,8487
s,prec,all,NA,8480
s,prec,all,NA,8477
s,prec,all,NA,8470
s,prec,all,NA,8465
s,prec,all,NA,8464
s,prec,all,NA,8458
s,prec,all,NA,8453
s,prec,all,NA,8450
s,prec,all,NA,844
s,prec,all,NA,8430
s,prec,all,NA,8429
s,prec,all,NA,8425
s,prec,all,NA,8424
s,prec,all,NA,8421
s,prec,all,NA,8403
s,prec,all,NA,8400
s,prec,all,NA,8395
s,prec,all,NA,8388
s,prec,all,NA,8383
s,prec,all,NA,8377
s,prec,all,NA,8368
s,prec,all,NA,8366
s,prec,all,NA,8364
s,prec,all,NA,8347
s,prec,all,NA,8309
s,prec,all,NA,8302
s,prec,all,NA,8294
s,prec,all,NA,8286
s,prec,all,NA,8268
s,prec,all,NA,8263
s,prec,all,NA,8261
s,prec,all,NA,8247
s,prec,all,NA,8244
s,prec,all,NA,8241
s,prec,all,NA,8222
s,prec,all,NA,8215
s,prec,all,NA,8180
s,prec,all,NA,8154
s,prec,all,NA,8142
s,prec,all,NA,8124
s,prec,all,NA,8117
s,prec,all,NA,8113
s,prec,all,NA,8100
s,prec,all,NA,8099
s,prec,all,NA,8097
s,prec,all,NA,8084
s,prec,all,NA,808
s,prec,all,NA,8047
s,prec,all,NA,8046
s,prec,all,NA,8042
s,prec,all,NA,8039
s,prec,all,NA,8031
s,prec,all,NA,8025
s,prec,all,NA,8019
s,prec,all,NA,8015
s,prec,all,NA,8009
s,prec,all,NA,8007
s,prec,all,NA,8002
s,prec,all,NA,7996
s,prec,all,NA,7972
s,prec,all,NA,7971
s,prec,all,NA,7966
s,prec,all,NA,7953
s,prec,all,NA,7947
s,prec,all,NA,7943
s,prec,all,NA,7924
s,prec,all,NA,7919
s,prec,all,NA,7918
s,prec,all,NA,7917
s,prec,all,NA,7895
s,prec,all,NA,7888
s,prec,all,NA,7874
s,prec,all,NA,7861
s,prec,all,NA,7851
s,prec,all,NA,7836
s,prec,all,NA,7795
s,prec,all,NA,7792
s,prec,all,NA,7789
s,prec,all,NA,7774
s,prec,all,NA,7773
s,prec,all,NA,7768
s,prec,all,NA,7761
s,prec,all,NA,7745
s,prec,all,NA,7732
s,prec,all,NA,7730
s,prec,all,NA,7729
s,prec,all,NA,7721
s,prec,all,NA,7708
s,prec,all,NA,7687
s,prec,all,NA,7684
s,prec,all,NA,7682
s,prec,all,NA,7676
s,prec,all,NA,7669
s,prec,all,NA,7663
s,prec,all,NA,7655
s,prec,all,NA,7652
s,prec,all,NA,7651
s,prec,all,NA,7647
s,prec,all,NA,7623
s,prec,all,NA,7617
s,prec,all,NA,7613
s,prec,all,NA,7603
s,prec,all,NA,7598
s,prec,all,NA,7593
s,prec,all,NA,7569
s,prec,all,NA,7568
s,prec,all,NA,7563
s,prec,all,NA,7559
s,prec,all,NA,7548
s,prec,all,NA,752
s,prec,all,NA,7517
s,prec,all,NA,7516
s,prec,all,NA,7508
s,prec,all,NA,7503
s,prec,all,NA,7495
s,prec,all,NA,7494
s,prec,all,NA,7486
s,prec,all,NA,7483
s,prec,all,NA,7469
s,prec,all,NA,7458
s,prec,all,NA,7457
s,prec,all,NA,7454
s,prec,all,NA,7433
s,prec,all,NA,7419
s,prec,all,NA,7418
s,prec,all,NA,7391
s,prec,all,NA,7390
s,prec,all,NA,7385
s,prec,all,NA,7384
s,prec,all,NA,7372
s,prec,all,NA,7371
s,prec,all,NA,7352
s,prec,all,NA,7351
s,prec,all,NA,7344
s,prec,all,NA,7328
s,prec,all,NA,7325
s,prec,all,NA,7315
s,prec,all,NA,7314
s,prec,all,NA,730
s,prec,all,NA,7297
s,prec,all,NA,728
s,prec,all,NA,7277
s,prec,all,NA,725
s,prec,all,NA,7234
s,prec,all,NA,7227
s,prec,all,NA,7219
s,prec,all,NA,7214
s,prec,all,NA,7181
s,prec,all,NA,7168
s,prec,all,NA,715
s,prec,all,NA,7139
s,prec,all,NA,7136
s,prec,all,NA,7117
s,prec,all,NA,7100
s,prec,all,NA,71
s,prec,all,NA,7083
s,prec,all,NA,708
s,prec,all,NA,7050
s,prec,all,NA,705
s,prec,all,NA,7046
s,prec,all,NA,7027
s,prec,all,NA,702
s,prec,all,NA,7018
