TYPE,VAR,SCALE,P,SEED
s,tmin,all,NA,9992
s,tmin,all,NA,9991
s,tmin,all,NA,9985
s,tmin,all,NA,9968
s,tmin,all,NA,9958
s,tmin,all,NA,995
s,tmin,all,NA,9949
s,tmin,all,NA,993
s,tmin,all,NA,9915
s,tmin,all,NA,9910
s,tmin,all,NA,9908
s,tmin,all,NA,99
s,tmin,all,NA,9897
s,tmin,all,NA,9862
s,tmin,all,NA,9859
s,tmin,all,NA,9839
s,tmin,all,NA,9833
s,tmin,all,NA,9825
s,tmin,all,NA,9809
s,tmin,all,NA,9807
s,tmin,all,NA,9806
s,tmin,all,NA,9799
s,tmin,all,NA,9788
s,tmin,all,NA,9785
s,tmin,all,NA,9766
s,tmin,all,NA,975
s,tmin,all,NA,9745
s,tmin,all,NA,9733
s,tmin,all,NA,9726
s,tmin,all,NA,9723
s,tmin,all,NA,9717
s,tmin,all,NA,9707
s,tmin,all,NA,9702
s,tmin,all,NA,9701
s,tmin,all,NA,9693
s,tmin,all,NA,9681
s,tmin,all,NA,968
s,tmin,all,NA,9675
s,tmin,all,NA,9654
s,tmin,all,NA,9641
s,tmin,all,NA,964
s,tmin,all,NA,9636
s,tmin,all,NA,9623
s,tmin,all,NA,9621
s,tmin,all,NA,962
s,tmin,all,NA,9602
s,tmin,all,NA,9601
s,tmin,all,NA,9598
s,tmin,all,NA,9592
s,tmin,all,NA,9572
s,tmin,all,NA,9561
s,tmin,all,NA,9560
s,tmin,all,NA,9556
s,tmin,all,NA,9550
s,tmin,all,NA,9544
s,tmin,all,NA,9543
s,tmin,all,NA,954
s,tmin,all,NA,9533
s,tmin,all,NA,9531
s,tmin,all,NA,9529
s,tmin,all,NA,9512
s,tmin,all,NA,9496
s,tmin,all,NA,9484
s,tmin,all,NA,9478
s,tmin,all,NA,9476
s,tmin,all,NA,9475
s,tmin,all,NA,9473
s,tmin,all,NA,9465
s,tmin,all,NA,9455
s,tmin,all,NA,944
s,tmin,all,NA,9401
s,tmin,all,NA,9399
s,tmin,all,NA,939
s,tmin,all,NA,9386
s,tmin,all,NA,9383
s,tmin,all,NA,9369
s,tmin,all,NA,9361
s,tmin,all,NA,9347
s,tmin,all,NA,9343
s,tmin,all,NA,9328
s,tmin,all,NA,932
s,tmin,all,NA,9307
s,tmin,all,NA,93
s,tmin,all,NA,9298
s,tmin,all,NA,9288
s,tmin,all,NA,927
s,tmin,all,NA,9265
s,tmin,all,NA,9247
s,tmin,all,NA,9221
s,tmin,all,NA,9202
s,tmin,all,NA,9180
s,tmin,all,NA,9167
s,tmin,all,NA,9163
s,tmin,all,NA,9152
s,tmin,all,NA,9145
s,tmin,all,NA,9133
s,tmin,all,NA,9125
s,tmin,all,NA,9116
s,tmin,all,NA,9111
s,tmin,all,NA,9110
s,tmin,all,NA,9100
s,tmin,all,NA,9098
s,tmin,all,NA,9095
s,tmin,all,NA,9087
s,tmin,all,NA,9066
s,tmin,all,NA,9063
s,tmin,all,NA,9062
s,tmin,all,NA,9059
s,tmin,all,NA,9056
s,tmin,all,NA,9048
s,tmin,all,NA,9041
s,tmin,all,NA,9039
s,tmin,all,NA,9027
s,tmin,all,NA,9020
s,tmin,all,NA,901
s,tmin,all,NA,9003
s,tmin,all,NA,9
s,tmin,all,NA,8996
s,tmin,all,NA,8992
s,tmin,all,NA,8981
s,tmin,all,NA,8974
s,tmin,all,NA,8971
s,tmin,all,NA,8966
s,tmin,all,NA,8964
s,tmin,all,NA,8948
s,tmin,all,NA,8943
s,tmin,all,NA,8937
s,tmin,all,NA,893
s,tmin,all,NA,889
s,tmin,all,NA,8885
s,tmin,all,NA,8879
s,tmin,all,NA,8870
s,tmin,all,NA,8849
s,tmin,all,NA,8848
s,tmin,all,NA,8805
s,tmin,all,NA,8801
s,tmin,all,NA,8784
s,tmin,all,NA,8782
s,tmin,all,NA,8780
s,tmin,all,NA,8778
s,tmin,all,NA,8755
s,tmin,all,NA,8753
s,tmin,all,NA,8737
s,tmin,all,NA,8731
s,tmin,all,NA,8723
s,tmin,all,NA,8696
s,tmin,all,NA,8695
s,tmin,all,NA,8653
s,tmin,all,NA,8649
s,tmin,all,NA,8639
s,tmin,all,NA,8633
s,tmin,all,NA,8631
s,tmin,all,NA,8630
s,tmin,all,NA,8607
s,tmin,all,NA,8593
s,tmin,all,NA,8583
s,tmin,all,NA,8581
s,tmin,all,NA,8579
s,tmin,all,NA,8578
s,tmin,all,NA,8559
s,tmin,all,NA,8520
s,tmin,all,NA,8511
s,tmin,all,NA,850
s,tmin,all,NA,85
s,tmin,all,NA,8495
