TYPE,VAR,SCALE,P,SEED
s,yield,years,NA,9992
s,yield,years,NA,9982
s,yield,years,NA,9973
s,yield,years,NA,9969
s,yield,years,NA,9961
s,yield,years,NA,9959
s,yield,years,NA,9958
s,yield,years,NA,9947
s,yield,years,NA,9944
s,yield,years,NA,9937
s,yield,years,NA,9910
s,yield,years,NA,9887
s,yield,years,NA,9885
s,yield,years,NA,9880
s,yield,years,NA,9870
s,yield,years,NA,9868
s,yield,years,NA,986
s,yield,years,NA,9844
s,yield,years,NA,9838
s,yield,years,NA,981
s,yield,years,NA,9804
s,yield,years,NA,9798
s,yield,years,NA,9783
s,yield,years,NA,9781
s,yield,years,NA,9775
s,yield,years,NA,9771
s,yield,years,NA,9765
s,yield,years,NA,9747
s,yield,years,NA,9744
s,yield,years,NA,9739
s,yield,years,NA,9732
s,yield,years,NA,9730
s,yield,years,NA,9724
s,yield,years,NA,9718
s,yield,years,NA,9704
s,yield,years,NA,9702
s,yield,years,NA,9700
s,yield,years,NA,9674
s,yield,years,NA,9666
s,yield,years,NA,9659
s,yield,years,NA,9649
s,yield,years,NA,9630
s,yield,years,NA,9620
s,yield,years,NA,962
s,yield,years,NA,9613
s,yield,years,NA,9608
s,yield,years,NA,9602
s,yield,years,NA,96
s,yield,years,NA,9567
s,yield,years,NA,9546
s,yield,years,NA,9545
s,yield,years,NA,953
s,yield,years,NA,9527
s,yield,years,NA,952
s,yield,years,NA,9499
s,yield,years,NA,9498
s,yield,years,NA,9481
s,yield,years,NA,9474
s,yield,years,NA,9458
s,yield,years,NA,9448
s,yield,years,NA,9443
s,yield,years,NA,9425
s,yield,years,NA,9417
s,yield,years,NA,9411
s,yield,years,NA,941
s,yield,years,NA,9401
s,yield,years,NA,9371
s,yield,years,NA,9364
s,yield,years,NA,936
s,yield,years,NA,9350
s,yield,years,NA,9337
s,yield,years,NA,9330
s,yield,years,NA,9317
s,yield,years,NA,9302
s,yield,years,NA,9298
s,yield,years,NA,9294
s,yield,years,NA,9292
s,yield,years,NA,9273
s,yield,years,NA,9248
s,yield,years,NA,9239
s,yield,years,NA,923
s,yield,years,NA,9227
s,yield,years,NA,9225
s,yield,years,NA,9222
s,yield,years,NA,9203
s,yield,years,NA,920
s,yield,years,NA,9192
s,yield,years,NA,9174
s,yield,years,NA,9166
s,yield,years,NA,9160
s,yield,years,NA,9152
s,yield,years,NA,9148
s,yield,years,NA,9147
s,yield,years,NA,9134
s,yield,years,NA,9122
s,yield,years,NA,9115
s,yield,years,NA,9111
s,yield,years,NA,9101
s,yield,years,NA,9095
s,yield,years,NA,9088
s,yield,years,NA,9074
s,yield,years,NA,9058
s,yield,years,NA,9013
s,yield,years,NA,9006
s,yield,years,NA,9
s,yield,years,NA,8998
s,yield,years,NA,8993
s,yield,years,NA,8985
s,yield,years,NA,8981
s,yield,years,NA,8978
s,yield,years,NA,8976
s,yield,years,NA,8975
s,yield,years,NA,8973
s,yield,years,NA,8970
s,yield,years,NA,8965
s,yield,years,NA,8964
s,yield,years,NA,8958
s,yield,years,NA,8954
s,yield,years,NA,8946
s,yield,years,NA,8934
s,yield,years,NA,8930
s,yield,years,NA,8928
s,yield,years,NA,8904
s,yield,years,NA,8884
s,yield,years,NA,8883
s,yield,years,NA,8874
s,yield,years,NA,8871
s,yield,years,NA,8832
s,yield,years,NA,8831
s,yield,years,NA,8827
s,yield,years,NA,8821
s,yield,years,NA,879
s,yield,years,NA,8786
s,yield,years,NA,8779
s,yield,years,NA,8771
s,yield,years,NA,8753
s,yield,years,NA,8752
s,yield,years,NA,874
s,yield,years,NA,8736
s,yield,years,NA,8729
s,yield,years,NA,8719
s,yield,years,NA,8717
s,yield,years,NA,8703
s,yield,years,NA,870
s,yield,years,NA,8696
s,yield,years,NA,8682
s,yield,years,NA,8679
s,yield,years,NA,8663
s,yield,years,NA,8656
s,yield,years,NA,8640
s,yield,years,NA,8638
s,yield,years,NA,8633
s,yield,years,NA,8628
s,yield,years,NA,8627
s,yield,years,NA,8614
s,yield,years,NA,8610
s,yield,years,NA,8607
s,yield,years,NA,8604
s,yield,years,NA,8595
s,yield,years,NA,8582
s,yield,years,NA,8573
s,yield,years,NA,8570
s,yield,years,NA,8557
s,yield,years,NA,8547
s,yield,years,NA,8541
s,yield,years,NA,8536
s,yield,years,NA,853
s,yield,years,NA,851
s,yield,years,NA,8483
s,yield,years,NA,8474
s,yield,years,NA,8450
s,yield,years,NA,8448
s,yield,years,NA,8446
s,yield,years,NA,8442
s,yield,years,NA,8434
s,yield,years,NA,8426
s,yield,years,NA,841
s,yield,years,NA,84
s,yield,years,NA,8395
s,yield,years,NA,8390
s,yield,years,NA,8387
s,yield,years,NA,8378
s,yield,years,NA,8373
s,yield,years,NA,8372
s,yield,years,NA,8371
s,yield,years,NA,8361
s,yield,years,NA,8345
s,yield,years,NA,8336
s,yield,years,NA,8334
s,yield,years,NA,8300
s,yield,years,NA,830
s,yield,years,NA,8294
s,yield,years,NA,8290
s,yield,years,NA,8277
s,yield,years,NA,8276
s,yield,years,NA,8271
s,yield,years,NA,8262
s,yield,years,NA,8257
s,yield,years,NA,8252
s,yield,years,NA,8250
s,yield,years,NA,8245
s,yield,years,NA,8244
s,yield,years,NA,8242
s,yield,years,NA,8240
s,yield,years,NA,8223
s,yield,years,NA,8210
s,yield,years,NA,8199
s,yield,years,NA,8198
s,yield,years,NA,8188
s,yield,years,NA,8187
s,yield,years,NA,8185
s,yield,years,NA,8177
s,yield,years,NA,8165
s,yield,years,NA,8161
s,yield,years,NA,816
s,yield,years,NA,815
s,yield,years,NA,8116
s,yield,years,NA,8111
s,yield,years,NA,8089
s,yield,years,NA,8080
s,yield,years,NA,807
s,yield,years,NA,8069
s,yield,years,NA,8060
s,yield,years,NA,8045
s,yield,years,NA,8033
s,yield,years,NA,8026
s,yield,years,NA,8010
s,yield,years,NA,7978
s,yield,years,NA,7975
s,yield,years,NA,7968
s,yield,years,NA,7967
s,yield,years,NA,7965
s,yield,years,NA,7951
s,yield,years,NA,794
s,yield,years,NA,7916
s,yield,years,NA,7902
s,yield,years,NA,7898
s,yield,years,NA,7892
s,yield,years,NA,7885
s,yield,years,NA,786
s,yield,years,NA,7844
s,yield,years,NA,7843
s,yield,years,NA,7838
s,yield,years,NA,7825
s,yield,years,NA,7819
s,yield,years,NA,7809
s,yield,years,NA,780
s,yield,years,NA,7799
s,yield,years,NA,7787
s,yield,years,NA,7786
s,yield,years,NA,7782
s,yield,years,NA,7778
s,yield,years,NA,7773
s,yield,years,NA,7749
s,yield,years,NA,7734
s,yield,years,NA,7709
s,yield,years,NA,7699
s,yield,years,NA,7694
s,yield,years,NA,7693
s,yield,years,NA,7691
s,yield,years,NA,7688
s,yield,years,NA,7668
s,yield,years,NA,7666
s,yield,years,NA,7663
s,yield,years,NA,7661
s,yield,years,NA,7659
s,yield,years,NA,7656
s,yield,years,NA,7653
s,yield,years,NA,765
s,yield,years,NA,7640
s,yield,years,NA,764
s,yield,years,NA,7638
s,yield,years,NA,7621
s,yield,years,NA,7612
s,yield,years,NA,7603
s,yield,years,NA,7601
s,yield,years,NA,7592
s,yield,years,NA,759
s,yield,years,NA,7584
s,yield,years,NA,7582
s,yield,years,NA,758
s,yield,years,NA,7574
s,yield,years,NA,7556
s,yield,years,NA,7547
s,yield,years,NA,7527
s,yield,years,NA,7521
s,yield,years,NA,7517
s,yield,years,NA,7485
s,yield,years,NA,748
s,yield,years,NA,7478
s,yield,years,NA,7467
s,yield,years,NA,7460
s,yield,years,NA,7458
s,yield,years,NA,745
s,yield,years,NA,7449
s,yield,years,NA,7445
s,yield,years,NA,7438
s,yield,years,NA,7432
s,yield,years,NA,7428
s,yield,years,NA,7426
s,yield,years,NA,742
s,yield,years,NA,7390
s,yield,years,NA,7375
s,yield,years,NA,7367
s,yield,years,NA,7366
s,yield,years,NA,7364
s,yield,years,NA,7362
s,yield,years,NA,7359
s,yield,years,NA,7358
s,yield,years,NA,7351
s,yield,years,NA,7336
s,yield,years,NA,7334
s,yield,years,NA,7322
s,yield,years,NA,7319
s,yield,years,NA,7314
s,yield,years,NA,7303
s,yield,years,NA,7302
s,yield,years,NA,7298
s,yield,years,NA,7296
s,yield,years,NA,7295
s,yield,years,NA,7267
s,yield,years,NA,7260
s,yield,years,NA,7259
s,yield,years,NA,7258
s,yield,years,NA,7256
s,yield,years,NA,7249
s,yield,years,NA,7242
s,yield,years,NA,724
s,yield,years,NA,7232
s,yield,years,NA,717
s,yield,years,NA,7147
s,yield,years,NA,7135
s,yield,years,NA,7132
s,yield,years,NA,7126
s,yield,years,NA,7117
s,yield,years,NA,7114
s,yield,years,NA,7100
s,yield,years,NA,7098
s,yield,years,NA,7094
s,yield,years,NA,7081
s,yield,years,NA,7076
s,yield,years,NA,7069
s,yield,years,NA,7064
s,yield,years,NA,7063
s,yield,years,NA,7052
s,yield,years,NA,7042
s,yield,years,NA,7040
s,yield,years,NA,703
s,yield,years,NA,7022
s,yield,years,NA,7010
s,yield,years,NA,7003
s,yield,years,NA,7001
s,yield,years,NA,7000
s,yield,years,NA,6998
s,yield,years,NA,6981
s,yield,years,NA,6968
s,yield,years,NA,6967
s,yield,years,NA,6964
s,yield,years,NA,6941
s,yield,years,NA,6928
s,yield,years,NA,6927
s,yield,years,NA,6926
s,yield,years,NA,6923
s,yield,years,NA,6914
s,yield,years,NA,6910
s,yield,years,NA,6898
s,yield,years,NA,6886
s,yield,years,NA,6880
s,yield,years,NA,6875
s,yield,years,NA,6864
s,yield,years,NA,6859
s,yield,years,NA,6852
s,yield,years,NA,6845
s,yield,years,NA,683
s,yield,years,NA,6826
s,yield,years,NA,6815
s,yield,years,NA,6810
s,yield,years,NA,6805
s,yield,years,NA,68
s,yield,years,NA,6799
s,yield,years,NA,6792
s,yield,years,NA,6791
s,yield,years,NA,6781
s,yield,years,NA,6753
s,yield,years,NA,6751
s,yield,years,NA,6748
s,yield,years,NA,6736
s,yield,years,NA,6731
s,yield,years,NA,6729
s,yield,years,NA,6727
s,yield,years,NA,6724
s,yield,years,NA,6723
s,yield,years,NA,6715
s,yield,years,NA,6704
s,yield,years,NA,6694
s,yield,years,NA,668
s,yield,years,NA,6675
s,yield,years,NA,6672
s,yield,years,NA,6638
s,yield,years,NA,6634
s,yield,years,NA,6624
s,yield,years,NA,6618
s,yield,years,NA,6593
s,yield,years,NA,6592
s,yield,years,NA,6591
s,yield,years,NA,6586
s,yield,years,NA,6564
s,yield,years,NA,6559
s,yield,years,NA,6558
s,yield,years,NA,6539
s,yield,years,NA,6530
s,yield,years,NA,653
s,yield,years,NA,6529
s,yield,years,NA,6492
s,yield,years,NA,6484
s,yield,years,NA,6476
s,yield,years,NA,6474
s,yield,years,NA,6462
s,yield,years,NA,6458
s,yield,years,NA,6453
s,yield,years,NA,6450
s,yield,years,NA,645
s,yield,years,NA,6416
s,yield,years,NA,6400
s,yield,years,NA,639
s,yield,years,NA,6374
s,yield,years,NA,6364
s,yield,years,NA,6353
s,yield,years,NA,6352
s,yield,years,NA,6337
s,yield,years,NA,6329
s,yield,years,NA,631
s,yield,years,NA,6302
s,yield,years,NA,6295
s,yield,years,NA,629
s,yield,years,NA,627
s,yield,years,NA,626
s,yield,years,NA,6245
s,yield,years,NA,6236
s,yield,years,NA,6225
s,yield,years,NA,620
s,yield,years,NA,6193
s,yield,years,NA,6185
s,yield,years,NA,6167
s,yield,years,NA,6159
s,yield,years,NA,6156
s,yield,years,NA,6149
s,yield,years,NA,6142
s,yield,years,NA,614
s,yield,years,NA,6123
s,yield,years,NA,6109
s,yield,years,NA,6106
s,yield,years,NA,6094
s,yield,years,NA,6090
s,yield,years,NA,6073
s,yield,years,NA,6067
s,yield,years,NA,6062
s,yield,years,NA,6058
s,yield,years,NA,6055
s,yield,years,NA,605
s,yield,years,NA,6046
s,yield,years,NA,6027
s,yield,years,NA,6025
s,yield,years,NA,6018
s,yield,years,NA,5997
s,yield,years,NA,5992
s,yield,years,NA,5990
s,yield,years,NA,5989
s,yield,years,NA,5976
s,yield,years,NA,5971
s,yield,years,NA,5968
s,yield,years,NA,5959
s,yield,years,NA,5949
s,yield,years,NA,5945
s,yield,years,NA,5934
s,yield,years,NA,5929
s,yield,years,NA,5928
s,yield,years,NA,5921
s,yield,years,NA,592
s,yield,years,NA,5917
s,yield,years,NA,5913
s,yield,years,NA,5906
s,yield,years,NA,590
s,yield,years,NA,589
s,yield,years,NA,5881
s,yield,years,NA,5880
s,yield,years,NA,5855
s,yield,years,NA,5852
s,yield,years,NA,5846
s,yield,years,NA,5844
s,yield,years,NA,5839
s,yield,years,NA,5786
s,yield,years,NA,5785
s,yield,years,NA,5783
s,yield,years,NA,578
s,yield,years,NA,5756
s,yield,years,NA,5751
s,yield,years,NA,5727
s,yield,years,NA,5719
s,yield,years,NA,570
s,yield,years,NA,5693
s,yield,years,NA,5688
s,yield,years,NA,5685
s,yield,years,NA,5676
s,yield,years,NA,5673
s,yield,years,NA,5634
s,yield,years,NA,5632
s,yield,years,NA,5622
s,yield,years,NA,5618
s,yield,years,NA,5612
s,yield,years,NA,560
s,yield,years,NA,5583
s,yield,years,NA,5579
s,yield,years,NA,5556
s,yield,years,NA,5555
s,yield,years,NA,5552
s,yield,years,NA,5549
s,yield,years,NA,5543
s,yield,years,NA,5538
s,yield,years,NA,5528
s,yield,years,NA,5521
s,yield,years,NA,5517
s,yield,years,NA,5497
s,yield,years,NA,5495
s,yield,years,NA,5492
s,yield,years,NA,5463
s,yield,years,NA,546
s,yield,years,NA,5446
s,yield,years,NA,5429
s,yield,years,NA,5427
s,yield,years,NA,5426
s,yield,years,NA,5419
s,yield,years,NA,5412
s,yield,years,NA,5407
s,yield,years,NA,5383
s,yield,years,NA,5375
s,yield,years,NA,5374
s,yield,years,NA,5366
s,yield,years,NA,5331
s,yield,years,NA,5328
s,yield,years,NA,5327
s,yield,years,NA,5305
s,yield,years,NA,5296
s,yield,years,NA,5294
s,yield,years,NA,5282
s,yield,years,NA,5280
s,yield,years,NA,5276
s,yield,years,NA,5272
s,yield,years,NA,527
s,yield,years,NA,5241
s,yield,years,NA,5229
s,yield,years,NA,5228
s,yield,years,NA,5212
s,yield,years,NA,5206
s,yield,years,NA,520
s,yield,years,NA,5159
s,yield,years,NA,5147
s,yield,years,NA,5142
s,yield,years,NA,5133
s,yield,years,NA,5130
s,yield,years,NA,5124
s,yield,years,NA,511
s,yield,years,NA,5095
s,yield,years,NA,5082
s,yield,years,NA,5072
s,yield,years,NA,5069
s,yield,years,NA,5033
s,yield,years,NA,503
s,yield,years,NA,5016
s,yield,years,NA,5004
s,yield,years,NA,5000
s,yield,years,NA,4993
s,yield,years,NA,4983
s,yield,years,NA,4975
s,yield,years,NA,4970
s,yield,years,NA,497
s,yield,years,NA,4969
s,yield,years,NA,4947
s,yield,years,NA,4942
s,yield,years,NA,4925
s,yield,years,NA,4911
s,yield,years,NA,490
s,yield,years,NA,49
s,yield,years,NA,4896
s,yield,years,NA,4893
s,yield,years,NA,4873
s,yield,years,NA,4861
s,yield,years,NA,4854
s,yield,years,NA,4849
s,yield,years,NA,4846
s,yield,years,NA,4844
s,yield,years,NA,484
s,yield,years,NA,4830
s,yield,years,NA,4826
s,yield,years,NA,4825
s,yield,years,NA,4819
s,yield,years,NA,4813
s,yield,years,NA,4799
s,yield,years,NA,4797
s,yield,years,NA,4793
s,yield,years,NA,4787
s,yield,years,NA,4777
s,yield,years,NA,4751
s,yield,years,NA,475
s,yield,years,NA,4747
s,yield,years,NA,4742
s,yield,years,NA,4736
s,yield,years,NA,473
s,yield,years,NA,4727
s,yield,years,NA,4716
s,yield,years,NA,4711
s,yield,years,NA,4709
s,yield,years,NA,4706
s,yield,years,NA,4700
s,yield,years,NA,4697
s,yield,years,NA,4669
s,yield,years,NA,4660
s,yield,years,NA,465
s,yield,years,NA,4641
s,yield,years,NA,4614
s,yield,years,NA,4611
s,yield,years,NA,4606
s,yield,years,NA,4603
s,yield,years,NA,4588
s,yield,years,NA,4586
s,yield,years,NA,4578
s,yield,years,NA,4574
s,yield,years,NA,4571
s,yield,years,NA,4558
s,yield,years,NA,4551
s,yield,years,NA,4546
s,yield,years,NA,4544
s,yield,years,NA,4541
s,yield,years,NA,4524
s,yield,years,NA,4521
s,yield,years,NA,4506
s,yield,years,NA,4485
s,yield,years,NA,4474
s,yield,years,NA,4463
s,yield,years,NA,446
s,yield,years,NA,4458
s,yield,years,NA,4454
s,yield,years,NA,4440
s,yield,years,NA,4431
s,yield,years,NA,4403
s,yield,years,NA,4399
s,yield,years,NA,4396
s,yield,years,NA,4395
s,yield,years,NA,4386
s,yield,years,NA,4385
s,yield,years,NA,4350
s,yield,years,NA,4343
s,yield,years,NA,4333
s,yield,years,NA,4332
s,yield,years,NA,432
s,yield,years,NA,4317
s,yield,years,NA,4304
s,yield,years,NA,4302
s,yield,years,NA,430
s,yield,years,NA,4283
s,yield,years,NA,4274
s,yield,years,NA,4255
s,yield,years,NA,4212
s,yield,years,NA,4208
s,yield,years,NA,4205
s,yield,years,NA,4202
s,yield,years,NA,4197
s,yield,years,NA,4195
s,yield,years,NA,4150
s,yield,years,NA,4108
s,yield,years,NA,4102
s,yield,years,NA,409
s,yield,years,NA,4075
s,yield,years,NA,4074
s,yield,years,NA,4070
s,yield,years,NA,4065
s,yield,years,NA,4051
s,yield,years,NA,4048
s,yield,years,NA,4030
s,yield,years,NA,3987
s,yield,years,NA,3975
s,yield,years,NA,3962
s,yield,years,NA,3958
s,yield,years,NA,3950
s,yield,years,NA,3946
s,yield,years,NA,3919
s,yield,years,NA,3917
s,yield,years,NA,3909
s,yield,years,NA,3907
s,yield,years,NA,3881
s,yield,years,NA,3871
s,yield,years,NA,3855
s,yield,years,NA,3847
s,yield,years,NA,3842
s,yield,years,NA,382
s,yield,years,NA,3818
s,yield,years,NA,3799
s,yield,years,NA,3798
s,yield,years,NA,3795
s,yield,years,NA,3789
s,yield,years,NA,378
s,yield,years,NA,3768
s,yield,years,NA,3756
s,yield,years,NA,3749
s,yield,years,NA,3735
s,yield,years,NA,373
s,yield,years,NA,3703
s,yield,years,NA,3702
s,yield,years,NA,3699
s,yield,years,NA,3688
s,yield,years,NA,3687
s,yield,years,NA,3653
s,yield,years,NA,3648
s,yield,years,NA,3644
s,yield,years,NA,3598
s,yield,years,NA,3593
s,yield,years,NA,3570
s,yield,years,NA,3530
s,yield,years,NA,3518
s,yield,years,NA,3514
s,yield,years,NA,350
s,yield,years,NA,3497
s,yield,years,NA,3481
s,yield,years,NA,3472
s,yield,years,NA,3468
s,yield,years,NA,3448
s,yield,years,NA,3442
s,yield,years,NA,3430
s,yield,years,NA,3409
s,yield,years,NA,340
s,yield,years,NA,3395
s,yield,years,NA,339
s,yield,years,NA,3376
s,yield,years,NA,3349
s,yield,years,NA,3337
s,yield,years,NA,3331
s,yield,years,NA,3329
s,yield,years,NA,332
s,yield,years,NA,3316
s,yield,years,NA,3311
s,yield,years,NA,3310
s,yield,years,NA,331
s,yield,years,NA,3298
s,yield,years,NA,3287
s,yield,years,NA,3280
s,yield,years,NA,328
s,yield,years,NA,3276
s,yield,years,NA,3273
s,yield,years,NA,3265
s,yield,years,NA,3261
s,yield,years,NA,3248
s,yield,years,NA,3240
s,yield,years,NA,3232
