ID	Fileset	GCM	Ensemble	iYear	iMonth	iDay	fYear	fMonth	fDay	ncol	res_x	nrow	res_y	has_leap	pr_unit	tas_unit	naming	srad_naming	Notes
1	1	bcc_csm1_1	r1i1p1	1850	1	1	2012	12	30	128	2.8125	64	2.8125	no	kg m-2 s-1	K	%var%_day_bcc-csm1-1_historical_r1i1p1_18500101-20121230.nc	rsds_day_bcc-csm1-1_historical_r1i1p1_19500101-20121230.nc	NA
2	1	cccma_cancm4	r1i1p1	1961	1	1	2005	12	30	128	2.8125	64	2.8125	no	kg m-2 s-1	K	%var%_day_CanCM4_historical_r1i1p1_19610101-20051231.nc	rsds_Amon_CanCM4_historical_r1i1p1_196101-200512.nc	NA
3	2	cccma_cancm4	r2i1p1	1961	1	1	2005	12	30	128	2.8125	64	2.8125	no	kg m-2 s-1	K	%var%_day_CanCM4_historical_r2i1p1_19610101-20051231.nc	rsds_Amon_CanCM4_historical_r2i1p1_196101-200512.nc	NA
4	3	cccma_cancm4	r3i1p1	1961	1	1	2005	12	30	128	2.8125	64	2.8125	no	kg m-2 s-1	K	%var%_day_CanCM4_historical_r3i1p1_19610101-20051231.nc	rsds_Amon_CanCM4_historical_r3i1p1_196101-200512.nc	NA
5	4	cccma_cancm4	r4i1p1	1961	1	1	2005	12	30	128	2.8125	64	2.8125	no	kg m-2 s-1	K	%var%_day_CanCM4_historical_r4i1p1_19610101-20051231.nc	rsds_Amon_CanCM4_historical_r4i1p1_196101-200512.nc	NA
6	5	cccma_cancm4	r5i1p1	1961	1	1	2005	12	30	128	2.8125	64	2.8125	no	kg m-2 s-1	K	%var%_day_CanCM4_historical_r5i1p1_19610101-20051231.nc	rsds_Amon_CanCM4_historical_r5i1p1_196101-200512.nc	NA
7	6	cccma_cancm4	r6i1p1	1961	1	1	2005	12	30	128	2.8125	64	2.8125	no	kg m-2 s-1	K	%var%_day_CanCM4_historical_r6i1p1_19610101-20051231.nc	rsds_Amon_CanCM4_historical_r6i1p1_196101-200512.nc	NA
8	7	cccma_cancm4	r7i1p1	1961	1	1	2005	12	30	128	2.8125	64	2.8125	no	kg m-2 s-1	K	%var%_day_CanCM4_historical_r7i1p1_19610101-20051231.nc	rsds_Amon_CanCM4_historical_r7i1p1_196101-200512.nc	NA
9	8	cccma_cancm4	r8i1p1	1961	1	1	2005	12	30	128	2.8125	64	2.8125	no	kg m-2 s-1	K	%var%_day_CanCM4_historical_r8i1p1_19610101-20051231.nc	rsds_Amon_CanCM4_historical_r8i1p1_196101-200512.nc	NA
10	9	cccma_cancm4	r9i1p1	1961	1	1	2005	12	30	128	2.8125	64	2.8125	no	kg m-2 s-1	K	%var%_day_CanCM4_historical_r9i1p1_19610101-20051231.nc	rsds_Amon_CanCM4_historical_r9i1p1_196101-200512.nc	NA
11	10	cccma_cancm4	r10i1p1	1961	1	1	2005	12	30	128	2.8125	64	2.8125	no	kg m-2 s-1	K	%var%_day_CanCM4_historical_r10i1p1_19610101-20051231.nc	rsds_Amon_CanCM4_historical_r10i1p1_196101-200512.nc	NA
12	1	cccma_canesm2	r1i1p1	1850	1	1	2005	12	31	128	2.8125	64	2.8125	no	kg m-2 s-1	K	%var%_day_CanESM2_historical_r1i1p1_18500101-20051231.nc	rsds_day_CanESM2_historical_r1i1p1_18500101-20051231.nc	NA
13	2	cccma_canesm2	r2i1p1	1850	1	1	2005	12	31	128	2.8125	64	2.8125	no	kg m-2 s-1	K	%var%_day_CanESM2_historical_r2i1p1_18500101-20051231.nc	rsds_day_CanESM2_historical_r2i1p1_18500101-20051231.nc	NA
14	3	cccma_canesm2	r3i1p1	1850	1	1	2005	12	31	128	2.8125	64	2.8125	no	kg m-2 s-1	K	%var%_day_CanESM2_historical_r3i1p1_18500101-20051231.nc	rsds_day_CanESM2_historical_r3i1p1_18500101-20051231.nc	NA
15	4	cccma_canesm2	r4i1p1	1850	1	1	2005	12	31	128	2.8125	64	2.8125	no	kg m-2 s-1	K	%var%_day_CanESM2_historical_r4i1p1_18500101-20051231.nc	rsds_day_CanESM2_historical_r4i1p1_18500101-20051231.nc	NA
16	5	cccma_canesm2	r5i1p1	1850	1	1	2005	12	31	128	2.8125	64	2.8125	no	kg m-2 s-1	K	%var%_day_CanESM2_historical_r5i1p1_18500101-20051231.nc	rsds_day_CanESM2_historical_r5i1p1_18500101-20051231.nc	NA
17	1	cnrm_cerfacs_cnrm_cm5	r1i1p1	1960	1	1	1964	12	31	256	1.40625	128	1.40625	yes	kg m-2 s-1	K	%var%_day_CNRM-CM5_historical_r1i1p1_19600101-19641231.nc	rsds_day_CNRM-CM5_historical_r1i1p1_19600101-19641231.nc	NA
18	1	cnrm_cerfacs_cnrm_cm5	r1i1p1	1965	1	1	1969	12	31	256	1.40625	128	1.40625	yes	kg m-2 s-1	K	%var%_day_CNRM-CM5_historical_r1i1p1_19650101-19691231.nc	rsds_day_CNRM-CM5_historical_r1i1p1_19650101-19691231.nc	NA
19	1	cnrm_cerfacs_cnrm_cm5	r1i1p1	1970	1	1	1974	12	31	256	1.40625	128	1.40625	yes	kg m-2 s-1	K	%var%_day_CNRM-CM5_historical_r1i1p1_19700101-19741231.nc	rsds_day_CNRM-CM5_historical_r1i1p1_19700101-19741231.nc	NA
20	1	cnrm_cerfacs_cnrm_cm5	r1i1p1	1975	1	1	1979	12	31	256	1.40625	128	1.40625	yes	kg m-2 s-1	K	%var%_day_CNRM-CM5_historical_r1i1p1_19750101-19791231.nc	rsds_day_CNRM-CM5_historical_r1i1p1_19750101-19791231.nc	NA
21	1	cnrm_cerfacs_cnrm_cm5	r1i1p1	1980	1	1	1984	12	31	256	1.40625	128	1.40625	yes	kg m-2 s-1	K	%var%_day_CNRM-CM5_historical_r1i1p1_19800101-19841231.nc	rsds_day_CNRM-CM5_historical_r1i1p1_19800101-19841231.nc	NA
22	1	cnrm_cerfacs_cnrm_cm5	r1i1p1	1985	1	1	1989	12	31	256	1.40625	128	1.40625	yes	kg m-2 s-1	K	%var%_day_CNRM-CM5_historical_r1i1p1_19850101-19891231.nc	rsds_day_CNRM-CM5_historical_r1i1p1_19850101-19891231.nc	NA
23	1	cnrm_cerfacs_cnrm_cm5	r1i1p1	1990	1	1	1994	12	31	256	1.40625	128	1.40625	yes	kg m-2 s-1	K	%var%_day_CNRM-CM5_historical_r1i1p1_19900101-19941231.nc	rsds_day_CNRM-CM5_historical_r1i1p1_19900101-19941231.nc	NA
24	1	cnrm_cerfacs_cnrm_cm5	r1i1p1	1995	1	1	1999	12	31	256	1.40625	128	1.40625	yes	kg m-2 s-1	K	%var%_day_CNRM-CM5_historical_r1i1p1_19950101-19991231.nc	rsds_day_CNRM-CM5_historical_r1i1p1_19950101-19991231.nc	NA
25	1	cnrm_cerfacs_cnrm_cm5	r1i1p1	2000	1	1	2004	12	31	256	1.40625	128	1.40625	yes	kg m-2 s-1	K	%var%_day_CNRM-CM5_historical_r1i1p1_20000101-20041231.nc	rsds_day_CNRM-CM5_historical_r1i1p1_20000101-20041231.nc	NA
26	1	cnrm_cerfacs_cnrm_cm5	r1i1p1	2005	1	1	2005	12	31	256	1.40625	128	1.40625	yes	kg m-2 s-1	K	%var%_day_CNRM-CM5_historical_r1i1p1_20050101-20051231.nc	rsds_day_CNRM-CM5_historical_r1i1p1_20050101-20051231.nc	NA
27	1	csiro_mk3_6_0	r1i1p1	1950	1	1	1969	12	31	192	1.875	96	1.875	no	kg m-2 s-1	K	%var%_day_CSIRO-Mk3-6-0_historical_r1i1p1_19500101-19691231.nc	rsds_day_CSIRO-Mk3-6-0_historical_r1i1p1_19500101-19691231.nc	NA
28	1	csiro_mk3_6_0	r1i1p1	1970	1	1	1989	12	31	192	1.875	96	1.875	no	kg m-2 s-1	K	%var%_day_CSIRO-Mk3-6-0_historical_r1i1p1_19700101-19891231.nc	rsds_day_CSIRO-Mk3-6-0_historical_r1i1p1_19700101-19891231.nc	NA
29	1	csiro_mk3_6_0	r1i1p1	1990	1	1	2005	12	31	192	1.875	96	1.875	no	kg m-2 s-1	K	%var%_day_CSIRO-Mk3-6-0_historical_r1i1p1_19900101-20051231.nc	rsds_day_CSIRO-Mk3-6-0_historical_r1i1p1_19900101-20051231.nc	NA
30	2	csiro_mk3_6_0	r2i1p1	1950	1	1	1969	12	31	192	1.875	96	1.875	no	kg m-2 s-1	K	%var%_day_CSIRO-Mk3-6-0_historical_r2i1p1_19500101-19691231.nc	rsds_Amon_CSIRO-Mk3-6-0_historical_r2i1p1_185001-200512.nc	NA
31	2	csiro_mk3_6_0	r2i1p1	1970	1	1	1989	12	31	192	1.875	96	1.875	no	kg m-2 s-1	K	%var%_day_CSIRO-Mk3-6-0_historical_r2i1p1_19700101-19891231.nc	rsds_Amon_CSIRO-Mk3-6-0_historical_r2i1p1_185001-200512.nc	NA
