idrow,idcell,x,y,P1,P2,P3,P4,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19
1,1,-109.6666666,29.6666667,204.0625,176.5625,50.5,6074.6875,29.6875,346.375,271.125,197.4375,278.375,125,535.625,147.1875,4.9375,92.4375,316.5625,35.3125,291,100.9375
2,2,-108.9999998,29.6666667,185.1875,177.625,50.25,6145.375,10.625,350.1875,252.125,180.9375,260.3125,104.9375,573.625,149.3125,5.9375,85.75,328.3125,35.5625,300,111.8125
3,3,-108.3333331,29.6666667,123.25,174.6875,51.4375,5774,-42.8125,337.75,187.375,119,195.6875,48.875,617.125,152.1875,9.375,85.1875,360.3125,41.1875,324.375,104
4,4,-107.6666663,29.6666667,135.75,181.5,51.125,6032.75,-38.375,351.5625,202,123.875,211.375,57.5625,423,106.1875,5.6875,96.6875,276.625,27,234.8125,46.9375
5,5,-106.9999995,29.6666667,147.9375,180.75,51.1875,6040.5625,-26.8125,350.125,212.4375,115.4375,222.5625,69.0625,375.75,96.25,5.5625,101,252.875,22,214.125,29.875
6,6,-106.3333327,29.6666667,160.8125,179.0625,50.8125,6156.5,-18.3125,349.25,225.625,120.25,235.75,79.375,350.5625,88.5,4.4375,102.75,239,18.875,200.8125,22.9375
7,7,-105.6666659,29.6666667,171.9375,166.125,47.4375,6591.875,-9.8125,346.1875,241.5,104.0625,251.4375,83.9375,269.4375,83.5625,1.625,115.125,193.0625,7.6875,166.875,10.75
8,8,-104.9999992,29.6666667,185.125,165.625,46.125,6928.375,-3.4375,355.3125,258.5,107.375,268.5625,92.5,309.5625,73.625,3.4375,98.125,201,13.75,169.5625,16.375
9,9,-104.3333324,29.6666667,191.25,173.5,47.5625,6927.625,1,361.25,264.875,120.5625,275.1875,98.5625,303.125,61.0625,5,78.6875,169.125,20.6875,147.5625,25.125
10,10,-103.6666656,29.6666667,183.1875,167.3125,47.6875,6630.1875,-0.6875,346.9375,253.25,111.25,263.4375,94.0625,347,61.25,7.0625,70.125,176.0625,26.5,160.8125,30.6875
11,11,-102.9999988,29.6666667,193.3125,162.375,46.5625,6799,5.4375,345.3125,262.0625,120.4375,274.8125,100.9375,329.1875,55.375,7.5,61.6875,147.125,28.3125,135.75,31.6875
12,12,-102.3333321,29.6666667,201.0625,150.3125,44.75,6725.8125,17,332.25,255.9375,128.4375,280.5,108.875,306.9375,54.0625,7.3125,57.8125,132.75,29.125,114,31.5
13,13,-101.6666653,29.6666667,207.875,143.4375,42.5,6964.5,23.625,334,259.25,121.875,290.8125,112.8125,355.25,65.125,9.3125,55.4375,155,36.0625,116,40.25
14,14,-100.9999985,29.6666667,202.5625,137.9375,41.125,6921.0625,23.1875,331.0625,251.25,116.8125,285.4375,108.3125,457.0625,80.9375,12.1875,54,179.3125,45.25,133.0625,51.5
15,15,-100.3333317,29.6666667,191.0625,140.4375,41.9375,6753.375,12.6875,331.25,241.75,100.875,272,98.3125,616.5,79.3125,22.25,41.25,215.4375,78.3125,197.625,78.5
16,16,-99.66666494,29.6666667,187.5625,137.4375,41.5,6704.5,11.875,327.4375,235.25,99.6875,267.875,95.6875,686.8125,88.0625,29.875,36.6875,234.5,99.5,208.75,99.6875
17,17,-98.99999817,29.6666667,194.5,132,41.0625,6573.9375,27.875,317.6875,233.4375,108.1875,273.875,105.375,749.4375,99.625,37.25,33,249,125.9375,199.5,126.75
18,18,-98.33333139,29.6666667,198.0625,125.75,39.5,6656.1875,34.625,314.5625,235.5625,119.1875,279.5,108.625,811,105.25,43.25,31.0625,265,146.0625,196.4375,149.25
19,19,-97.66666461,29.6666667,200.8125,128.875,39.5625,6709.5625,34.3125,321.625,238.4375,125.875,282.25,109.5625,868.625,114.9375,42,32.5,293.375,159.9375,202.1875,165.1875
20,20,-96.99999783,29.6666667,201.125,124.75,39.1875,6564.5,38.9375,314.25,237.3125,127.25,281.25,111.8125,970.5,125.5625,53.5625,27.5625,309.875,189.125,226.25,198.9375
21,21,-96.33333106,29.6666667,200.8125,125.4375,39.75,6510.1875,39.4375,311.5625,224.9375,146.1875,279.75,111.75,1044,127.5625,59.5625,24.1875,312.6875,205.8125,251.4375,223.3125
22,22,-95.66666428,29.6666667,202.625,110.5,37.8125,6305.25,51.375,287.625,248.625,163.875,279.0625,116.375,1138.1875,131.9375,66.125,21,337.4375,216.8125,309.0625,244.625
23,23,-94.9999975,29.6666667,204,103.2307663,36.92307663,6226.077148,57,276.7692261,268.4615479,164.5384674,279.4615479,119.8461533,1259.076904,147.9230804,72,20.23077011,374.9230652,240.1538391,354.1538391,278.5384521
24,24,-94.33333072,29.6666667,202.8181763,102.8181839,37.09090805,6244.63623,56.63636398,274.1818237,271.8181763,163,278.2727356,118.272728,1349.181763,154.0909119,78.27272797,19,400.6363525,252.8181763,383.7272644,310.9090881
25,25,-93.66666394,29.6666667,200.75,98.375,35.875,6268.25,54.75,270.5,272.625,161.125,275.625,115.25,1443.5,156,85.75,19.125,444.625,268.625,437.5,340.875
