Station,Latitude,Longitude
pcpangos,3.97483776037,-76.15813984480
pcpmonte,3.96239475555,-76.06138860620
pcpgitan,3.94557320475,-76.00928154400
tuluapcp,3.83181092507,-75.90280777860
pcpceja,3.86272562311,-75.95874870590
pcpdiluv,3.88055654525,-76.14671490760
pcptener,3.73055146729,-76.08005580480
pcpincau,3.26954673854,-76.34694237500
pcpmiran,3.23340192520,-76.21674906080
pcpsoled,3.39721430185,-76.09673585650
pcpflori,3.31388989506,-76.23007562240
pcpdiana,3.33055077888,-76.18007554310
pcpcajon,3.23054713167,-76.06340540570
pcpguaca,3.76389919913,-76.33005773850
pcpjunta,3.76388545024,-76.16338567160
pcpselva,3.73055534263,-76.16338929260
pcpcosta,3.74722542109,-76.23005774320
