model,ens,rcp
bcc_csm1_1,r1i1p1,rcp26
bcc_csm1_1_m,r1i1p1,rcp26
bnu_esm,r1i1p1,rcp26
canesm2,r1i1p1,rcp26
ccsm4,r1i1p1,rcp26
cesm1_cam5,r1i1p1,rcp26
csiro_mk3_6_0,r1i1p1,rcp26
fgoals_g2,r1i1p1,rcp26
fio_esm,r1i1p1,rcp26
gfdl_cm3,r1i1p1,rcp26
gfdl_esm2g,r1i1p1,rcp26
gfdl_esm2m,r1i1p1,rcp26
giss_e2_h,r1i1p1,rcp26
giss_e2_r,r1i1p1,rcp26
hadgem2_ao,r1i1p1,rcp26
hadgem2_es,r1i1p1,rcp26
ipsl_cm5a_lr,r1i1p1,rcp26
ipsl_cm5a_mr,r1i1p1,rcp26
miroc_esm,r1i1p1,rcp26
miroc_esm_chem,r1i1p1,rcp26
miroc5,r1i1p1,rcp26
mpi_esm_lr,r1i1p1,rcp26
mpi_esm_mr,r1i1p1,rcp26
mri_cgcm3,r1i1p1,rcp26
noresm1_m,r1i1p1,rcp26
access1_0,r1i1p1,rcp45
access1_3,r1i1p1,rcp45
bcc_csm1_1,r1i1p1,rcp45
bcc_csm1_1_m,r1i1p1,rcp45
bnu_esm,r1i1p1,rcp45
canesm2,r1i1p1,rcp45
ccsm4,r1i1p1,rcp45
cesm1_bgc,r1i1p1,rcp45
cesm1_cam5,r1i1p1,rcp45
csiro_mk3_6_0,r1i1p1,rcp45
fgoals_g2,r1i1p1,rcp45
fio_esm,r1i1p1,rcp45
gfdl_cm3,r1i1p1,rcp45
gfdl_esm2g,r1i1p1,rcp45
gfdl_esm2m,r1i1p1,rcp45
giss_e2_h_cc,r1i1p1,rcp45
giss_e2_r,r1i1p1,rcp45
giss_e2_r_cc,r1i1p1,rcp45
hadgem2_ao,r1i1p1,rcp45
hadgem2_cc,r1i1p1,rcp45
hadgem2_es,r1i1p1,rcp45
inmcm4,r1i1p1,rcp45
ipsl_cm5a_lr,r1i1p1,rcp45
ipsl_cm5a_mr,r1i1p1,rcp45
miroc_esm,r1i1p1,rcp45
miroc_esm_chem,r1i1p1,rcp45
miroc5,r1i1p1,rcp45
mpi_esm_lr,r1i1p1,rcp45
mri_cgcm3,r1i1p1,rcp45
noresm1_m,r1i1p1,rcp45
bcc_csm1_1,r1i1p1,rcp60
bcc_csm1_1_m,r1i1p1,rcp60
ccsm4,r1i1p1,rcp60
cesm1_cam5,r1i1p1,rcp60
csiro_mk3_6_0,r1i1p1,rcp60
fio_esm,r1i1p1,rcp60
gfdl_cm3,r1i1p1,rcp60
gfdl_esm2g,r1i1p1,rcp60
gfdl_esm2m,r1i1p1,rcp60
giss_e2_h,r1i1p1,rcp60
giss_e2_r,r1i1p1,rcp60
hadgem2_ao,r1i1p1,rcp60
hadgem2_es,r1i1p1,rcp60
ipsl_cm5a_lr,r1i1p1,rcp60
miroc_esm,r1i1p1,rcp60
miroc_esm_chem,r1i1p1,rcp60
miroc5,r1i1p1,rcp60
mri_cgcm3,r1i1p1,rcp60
noresm1_m,r1i1p1,rcp60
access1_0,r1i1p1,rcp85
access1_3,r1i1p1,rcp85
bcc_csm1_1,r1i1p1,rcp85
bcc_csm1_1_m,r1i1p1,rcp85
bnu_esm,r1i1p1,rcp85
canesm2,r1i1p1,rcp85
ccsm4,r1i1p1,rcp85
cesm1_bgc,r1i1p1,rcp85
cesm1_cam5,r1i1p1,rcp85
csiro_mk3_6_0,r1i1p1,rcp85
ec_earth,r1i1p1,rcp85
fgoals_g2,r1i1p1,rcp85
fio_esm,r1i1p1,rcp85
gfdl_cm3,r1i1p1,rcp85
gfdl_esm2g,r1i1p1,rcp85
gfdl_esm2m,r1i1p1,rcp85
giss_e2_h,r1i1p1,rcp85
giss_e2_r,r1i1p1,rcp85
hadgem2_ao,r1i1p1,rcp85
hadgem2_cc,r1i1p1,rcp85
hadgem2_es,r1i1p1,rcp85
inmcm4,r1i1p1,rcp85
ipsl_cm5a_lr,r1i1p1,rcp85
ipsl_cm5a_mr,r1i1p1,rcp85
ipsl_cm5b_lr,r1i1p1,rcp85
miroc_esm,r1i1p1,rcp85
miroc_esm_chem,r1i1p1,rcp85
miroc5,r1i1p1,rcp85
mpi_esm_lr,r1i1p1,rcp85
mpi_esm_mr,r1i1p1,rcp85
mri_cgcm3,r1i1p1,rcp85
noresm1_m,r1i1p1,rcp85
