Modeling Center,Model,Institution,Model ID
  BCC,  BCC-CSM1.1,"  Beijing Climate Center, China Meteorological Administration",bcc_csm1_1
  BCC,  BCC-CSM1.1(m),"  Beijing Climate Center, China Meteorological Administration",bcc_csm1_1_m
  GCESS,  BNU-ESM,"  College of Global Change and Earth System Science, Beijing Normal University",bnu_esm
  CCCma,  CanCM4,  Canadian Centre for Climate Modelling and Analysis,cccma_cancm4
  CCCma,  CanESM2,  Canadian Centre for Climate Modelling and Analysis,cccma_canesm2
  NSF-DOE-NCAR,  CESM1(BGC),"  National Science Foundation, Department of Energy, National Center for Atmospheric Research",cesm1_bgc
  NSF-DOE-NCAR,  CESM1(CAM5),"  National Science Foundation, Department of Energy, National Center for Atmospheric Research",cesm1_cam5
  NSF-DOE-NCAR,"  CESM1(CAM5.1, FV2)","  National Science Foundation, Department of Energy, National Center for Atmospheric Research",cesm1_cam5_1_fv2
  NSF-DOE-NCAR,  CESM1(FASTCHEM),"  National Science Foundation, Department of Energy, National Center for Atmospheric Research",cesm1_fastchem
  NSF-DOE-NCAR,  CESM1(WACCM),"  National Science Foundation, Department of Energy, National Center for Atmospheric Research",cesm1_waccm
  CMCC,  CMCC-CESM,  Centro Euro-Mediterraneo per I Cambiamenti Climatici,cmcc_cesm
  CMCC,  CMCC-CM,  Centro Euro-Mediterraneo per I Cambiamenti Climatici,cmcc_cm
  CMCC,  CMCC-CMS,  Centro Euro-Mediterraneo per I Cambiamenti Climatici,cmcc_cms
  CNRM-CERFACS,  CNRM-CM5,  Centre National de Recherches Meteorologiques / Centre Europeen de Recherche et Formation Avancees en Calcul Scientifique,cnrm_cm5
  CSIRO-BOM,  ACCESS1.0,"  CSIRO (Commonwealth Scientific and Industrial Research Organisation, Australia), and BOM (Bureau of Meteorology, Australia)",csiro_access1_0
  CSIRO-BOM,  ACCESS1.3,"  CSIRO (Commonwealth Scientific and Industrial Research Organisation, Australia), and BOM (Bureau of Meteorology, Australia)",csiro_access1_3
  CSIRO-QCCCE,  CSIRO-Mk3.6.0,  Commonwealth Scientific and Industrial Research Organisation in collaboration with the Queensland Climate Change Centre of Excellence,csiro_mk3_6_0
  EC-EARTH,  EC-EARTH,  EC-EARTH consortium,ec_earth
  FIO,  FIO-ESM,"  The First Institute of Oceanography, SOA, China",fio_esm
  NOAA GFDL,  GFDL-CM2.1,  Geophysical Fluid Dynamics Laboratory,gfdl_cm2_1
  NOAA GFDL,  GFDL-CM3,  Geophysical Fluid Dynamics Laboratory,gfdl_cm3
  NOAA GFDL,  GFDL-ESM2G,  Geophysical Fluid Dynamics Laboratory,gfdl_esm2g
  NOAA GFDL,  GFDL-ESM2M,  Geophysical Fluid Dynamics Laboratory,gfdl_esm2m
  NASA GISS,  GISS-E2-H,  NASA Goddard Institute for Space Studies,giss_e2_h
  NASA GISS,  GISS-E2-H-CC,  NASA Goddard Institute for Space Studies,giss_e2_h_cc
  NASA GISS,  GISS-E2-R,  NASA Goddard Institute for Space Studies,giss_e2_r
  NASA GISS,  GISS-E2-R-CC,  NASA Goddard Institute for Space Studies,giss_e2_r_cc
  INM,  INM-CM4,  Institute for Numerical Mathematics,inm_cm4
  IPSL,  IPSL-CM5A-LR,  Institut Pierre-Simon Laplace,ipsl_cm5a_lr
  IPSL,  IPSL-CM5A-MR,  Institut Pierre-Simon Laplace,ipsl_cm5a_mr
  IPSL,  IPSL-CM5B-LR,  Institut Pierre-Simon Laplace,ipsl_cm5b_lr
  LASG-CESS,  FGOALS-g2,"  LASG, Institute of Atmospheric Physics, Chinese Academy of Sciences; and CESS, Tsinghua University",lasg_fgoals_g2
  LASG-IAP,  FGOALS-s2,"  LASG, Institute of Atmospheric Physics, Chinese Academy of Sciences",lasg_fgoals_s2
  MIROC,  MIROC-ESM," Japan Agency for Marine-Earth Science and Technology, Atmosphere and Ocean Research Institute (The University of Tokyo), and National Institute for Environmental Studies",miroc_esm
  MIROC,  MIROC-ESM-CHEM,,miroc_esm_chem
  MIROC,  MIROC4h,"  Atmosphere and Ocean Research Institute (The University of Tokyo), National Institute for Environmental Studies, and Japan Agency for Marine-Earth Science and Technology",miroc_miroc4h
  MIROC,  MIROC5,"  Atmosphere and Ocean Research Institute (The University of Tokyo), National Institute for Environmental Studies, and Japan Agency for Marine-Earth Science and Technology",miroc_miroc5
  MOHC (additional realizations by INPE),  HadCM3,  Met Office Hadley Centre (additional HadGEM2-ES realizations contributed by Instituto Nacional de Pesquisas Espaciais),mohc_hadcm3
  MOHC (additional realizations by INPE),  HadGEM2-CC,  Met Office Hadley Centre (additional HadGEM2-ES realizations contributed by Instituto Nacional de Pesquisas Espaciais),mohc_hadgem2_cc
  MOHC (additional realizations by INPE),  HadGEM2-ES,  Met Office Hadley Centre (additional HadGEM2-ES realizations contributed by Instituto Nacional de Pesquisas Espaciais),mohc_hadgem2_es
  MPI-M,  MPI-ESM-LR,  Max Planck Institute for Meteorology (MPI-M),mpi_esm_lr
  MPI-M,  MPI-ESM-MR,  Max Planck Institute for Meteorology (MPI-M),mpi_esm_mr
  MPI-M,  MPI-ESM-P,  Max Planck Institute for Meteorology (MPI-M),mpi_esm_p
  MRI,  MRI-CGCM3,  Meteorological Research Institute,mri_cgcm3
