no_p,id,ht,dht,lat,long
1,160102B,19.65,0.00,-18.6667,-39.7500
1,160101C,16.78,-2.86,-19.8000,-40.2833
1,161001Z1,14.28,-5.37,-24.9667,30.9500
1,161002C1,13.70,-5.95,-24.9667,31.0000
1,161603A,12.55,-7.10,-16.5000,-42.8333
1,161001G,12.50,-7.14,-25.1833,30.9833
1,161004A1,11.49,-8.15,-25.1333,30.8667
1,161001Z2,11.15,-8.50,-32.1667,28.6667
1,161002C2,11.14,-8.50,-28.6667,32.1667
2,163921A,18.78,0.00,-24.1422,-50.0947
2,160213B2,18.08,-0.69,2.5831,-76.5503
2,162613G,15.62,-3.16,-24.4083,-50.5083
2,160213B1,15.03,-3.75,4.2536,-76.3542
2,161020A,14.01,-4.76,-25.1833,30.9833
3,160211C2,17.01,0.00,3.8586,-76.4792
3,160210B2,16.91,-0.10,3.8586,-76.4792
3,160211C1,14.16,-2.85,4.2564,-76.3536
3,161811B,13.37,-3.64,-26.1667,31.2833
3,160711A2,13.36,-3.65,-25.5000,30.7500
3,160711A1,12.15,-4.85,-29.5167,30.5333
3,160210B1,9.36,-7.65,2.2986,-76.5908
4,162617B,16.90,0.00,-24.4083,-50.5083
4,160223F1,16.60,-0.30,4.7125,-75.6439
4,160223F2,16.42,-0.48,3.7894,-76.5731
4,160603C,14.43,-2.46,-24.1167,-50.1500
4,161004A2,10.93,-5.97,-28.3667,32.3167
5,130206A,16.80,0.00,2.5092,-76.6203
5,130202E,15.93,-0.86,2.5092,-76.6203
5,131003A,14.14,-2.65,-24.9667,30.9500
5,131002A,14.13,-2.66,-24.9667,30.9500
5,131003B,13.83,-2.96,-25.0333,30.7833
5,131002B,13.77,-3.02,-25.0333,30.7833
6,130742B3,16.22,0.00,-26.4810,30.7820
6,040102A,15.77,-0.45,-20.3667,-41.0000
6,132642A1,14.35,-1.87,-24.2667,-50.6333
6,131841B,13.14,-3.08,-26.1667,31.2833
6,132641A1,13.02,-3.20,-24.2667,-50.6333
6,041103A,12.28,-3.93,-18.7500,-45.1667
6,130742B2,11.51,-4.71,-26.4810,30.7820
6,130742B,11.49,-4.73,-26.9500,30.6833
6,040201A,9.87,-6.35,2.2964,-76.5847
7,030201A,15.52,0.00,2.5150,-76.6069
7,030202A,15.43,-0.09,2.5150,-76.6069
7,031105A,15.39,-0.13,-18.7500,-45.1667
7,030203A,14.09,-1.43,2.5150,-76.6069
7,030104B,12.85,-2.67,-18.6667,-39.7500
7,030104A,11.15,-4.37,-19.8000,-40.2833
8,200215C,14.90,0.00,4.9000,-75.5711
8,203915F,13.37,-1.52,-23.9878,-50.4503
8,200715Z1,13.15,-1.74,-26.9500,30.6833
8,202715D3,12.13,-2.76,-26.6649,-50.5225
8,202715D1,11.88,-3.02,-25.9783,-50.0982
8,201015I,11.87,-3.03,-25.0583,30.7625
8,202715D2,11.43,-3.46,-26.1087,-50.1739
8,202615J,11.34,-3.55,-27.5167,-50.0667
8,200715Z2,9.10,-5.79,-26.3667,30.9333
9,070201B,14.12,0.00,2.3128,-76.5906
9,072704B,13.67,-0.44,-26.3000,-50.6333
9,070202A,13.45,-0.66,2.2989,-76.5836
9,072708A,13.37,-0.75,-26.3000,-50.6333
9,070201A,12.85,-1.27,2.2989,-76.5836
10,200701L,14.11,2.45,-30.0500,29.9167
10,200704C,14.05,2.38,-25.5333,30.3667
10,200202C,13.99,2.33,2.5844,-76.5928
10,201001B,12.90,1.24,-26.2333,30.5167
10,202708I,12.74,1.08,-25.9333,-50.2833
10,201004A2,12.61,0.95,-26.2333,30.5167
10,201001A,11.94,0.28,-25.0583,30.7625
10,202606C1,11.85,0.19,-24.2667,-50.6333
10,200204B,11.72,0.06,2.2869,-76.5819
10,201004A1,11.64,-0.02,-25.0500,30.7500
10,202607C1,11.50,-0.16,-24.2667,-50.6333
10,200203B,10.99,-0.67,2.2869,-76.5819
10,202605I1,10.65,-1.01,-24.2667,-50.6333
10,200708C,10.49,-1.17,-25.5333,30.3667
10,201808B,10.36,-1.30,-26.2000,30.4833
10,201801H,10.25,-1.41,-26.2000,30.4833
10,202008D2,9.44,-2.22,-27.5167,-50.0667
10,202605J,8.96,-2.70,-27.1333,-50.4667
10,202607C4,8.81,-2.85,-27.7167,-50.3833
10,201008A,8.67,-2.99,-25.0583,30.7625
10,202606C4,8.45,-3.22,-27.7500,-50.3833
10,202014A,8.15,-3.51,-27.5167,-50.0667
11,130732C1,14.09,0.00,-31.2333,28.6333
11,131832C3,12.45,-1.63,-30.2000,30.0833
11,131032A3,12.22,-1.87,-25.0667,30.6833
11,131032B1,11.99,-2.10,-23.0000,30.2833
11,130733B3,11.79,-2.30,-31.2333,28.6333
11,131032A4,11.51,-2.58,-25.2500,30.9333
11,131032A1,11.51,-2.58,-25.0667,30.8167
11,131033B1,11.50,-2.59,-25.0667,30.8167
11,131637A,9.86,-4.23,-16.5000,-42.8333
11,130232D,9.77,-4.32,2.2586,-76.5947
11,130233A,8.68,-5.41,2.2586,-76.5947
12,200709B,13.94,0.00,-25.5333,30.3667
12,200209F1,12.05,-1.89,4.8242,-75.6086
12,202009Z1,10.65,-3.28,-27.5167,-50.0667
12,201809A,10.53,-3.41,-26.2000,30.4833
12,202609C,10.46,-3.48,-24.3139,-50.4278
12,202008D1,10.33,-3.61,-27.5167,-50.0667
12,202608F,10.11,-3.83,-24.3139,-50.4278
13,200710B,13.83,0.00,-25.5333,30.3667
13,202610G,12.16,-1.67,-24.1792,-50.5792
13,201010C,10.85,-2.98,-25.0500,30.7833
13,200210A,10.56,-3.27,2.2667,-76.6044
13,202010F,9.56,-4.27,-27.5167,-50.0667
14,200706E,13.73,0.00,-30.0333,29.9333
14,200705L,13.28,-0.44,-30.0500,29.9167
14,200205B1,12.59,-1.14,5.3819,-75.7550
14,201005F,12.46,-1.27,-24.9167,30.9500
14,200707D,11.99,-1.73,-30.0500,29.9167
14,201006B1,11.66,-2.07,-25.0583,30.7625
14,201005Z1,11.47,-2.26,-25.0583,30.7625
14,201006B2,11.17,-2.56,-26.2333,30.5167
14,201007B2,10.94,-2.79,-26.2333,30.5167
14,201005Z2,10.76,-2.97,-26.2333,30.5167
14,201007B1,10.71,-3.02,-25.0583,30.7625
14,202005L,10.56,-3.17,-27.5167,-50.0667
